iter	Passed	Remaining
0	1	103
1	1	91
2	2	85
3	3	85
4	4	88
5	5	90
6	7	93
7	8	94
8	9	95
9	10	92
10	11	91
11	12	90
12	13	87
13	13	85
14	14	84
15	15	83
16	16	81
17	17	79
18	18	78
19	19	78
20	20	76
21	21	75
22	22	74
23	23	72
24	23	71
25	24	69
26	25	68
27	26	67
28	27	66
29	27	64
30	28	64
31	29	63
32	30	62
33	31	60
34	32	59
35	33	59
36	34	58
37	34	56
38	35	55
39	36	55
40	37	54
41	38	52
42	39	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	44	46
49	45	45
50	45	44
51	46	43
52	47	42
53	48	41
54	49	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	31
65	58	30
66	59	29
67	60	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	23
74	66	22
75	67	21
76	68	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	76	12
86	76	11
87	77	10
88	78	9
89	80	8
90	81	8
91	82	7
92	82	6
93	83	5
94	84	4
95	85	3
96	86	2
97	87	1
98	87	0
99	88	0
