iter	Passed	Remaining
0	162	162790
1	164	82087
2	167	55709
3	169	42105
4	170	33909
5	172	28655
6	174	24752
7	176	21826
8	177	19568
9	179	17739
10	181	16344
11	184	15160
12	185	14114
13	187	13222
14	189	12424
15	190	11718
16	192	11112
17	193	10556
18	195	10100
19	198	9710
20	199	9303
21	200	8929
22	202	8611
23	204	8306
24	205	8030
25	207	7782
26	211	7639
27	213	7421
28	215	7211
29	216	7007
30	218	6817
31	219	6632
32	220	6460
33	222	6309
34	226	6232
35	227	6098
36	229	5966
37	230	5844
38	232	5728
39	234	5617
40	235	5508
41	236	5404
42	238	5314
43	240	5230
44	242	5141
45	243	5057
46	245	4975
47	247	4900
48	248	4824
49	250	4761
50	251	4687
51	255	4657
52	257	4596
53	258	4536
54	260	4478
55	261	4416
56	263	4357
57	264	4299
58	266	4246
59	268	4201
60	270	4157
61	271	4111
62	273	4063
63	274	4019
64	276	3974
65	277	3928
66	278	3883
67	280	3840
68	281	3798
69	284	3776
70	286	3745
71	287	3706
72	289	3674
73	290	3637
74	292	3602
75	293	3566
76	294	3530
77	295	3497
78	298	3477
79	300	3454
80	301	3422
81	303	3394
82	304	3359
83	305	3329
84	307	3308
85	308	3282
86	310	3256
87	313	3245
88	314	3223
89	316	3200
90	317	3175
91	319	3153
92	321	3132
93	322	3110
94	324	3089
95	326	3074
96	328	3061
97	330	3041
98	331	3020
99	333	3000
100	334	2980
101	336	2961
102	337	2940
103	339	2920
104	340	2903
105	343	2896
106	345	2881
107	346	2865
108	348	2849
109	350	2834
110	351	2818
111	353	2799
112	354	2782
113	356	2773
114	359	2764
115	360	2747
116	361	2729
117	363	2716
118	364	2700
119	366	2685
120	367	2670
121	368	2653
122	370	2644
123	372	2634
124	374	2621
125	376	2611
126	377	2596
127	379	2582
128	380	2568
129	381	2554
130	383	2540
131	384	2529
132	387	2524
133	388	2512
134	390	2499
135	391	2487
136	393	2475
137	394	2463
138	395	2452
139	397	2440
140	398	2428
141	400	2418
142	402	2409
143	403	2399
144	405	2391
145	407	2381
146	408	2371
147	410	2361
148	411	2350
149	413	2340
150	416	2339
151	418	2332
152	419	2323
153	421	2315
154	422	2305
155	424	2296
156	426	2287
157	427	2278
158	430	2278
159	432	2271
160	433	2260
161	435	2250
162	436	2241
163	438	2232
164	439	2223
165	440	2215
166	442	2205
167	445	2205
168	447	2198
169	448	2190
170	450	2184
171	452	2177
172	453	2169
173	455	2160
174	456	2154
175	459	2153
176	461	2146
177	463	2138
178	464	2131
179	466	2124
180	467	2117
181	469	2111
182	471	2103
183	473	2101
184	476	2099
185	477	2091
186	479	2084
187	481	2077
188	482	2071
189	484	2064
190	485	2058
191	487	2053
192	489	2046
193	490	2039
194	492	2032
195	494	2028
196	496	2022
197	497	2015
198	498	2007
199	500	2001
200	502	1996
201	504	1991
202	505	1986
203	507	1981
204	509	1974
205	510	1967
206	512	1961
207	513	1954
208	514	1948
209	516	1942
210	518	1939
211	520	1933
212	521	1927
213	523	1921
214	524	1914
215	525	1907
216	526	1901
217	528	1894
218	529	1887
219	532	1889
220	534	1884
221	536	1879
222	537	1872
223	538	1866
224	540	1860
225	541	1854
226	542	1848
227	544	1842
228	547	1842
229	549	1838
230	550	1832
231	551	1826
232	553	1820
233	554	1814
234	555	1808
235	556	1802
236	557	1796
237	559	1789
238	562	1790
239	563	1785
240	565	1780
241	566	1774
242	567	1769
243	569	1764
244	570	1759
245	572	1753
246	573	1747
247	574	1743
248	577	1741
249	579	1737
250	580	1732
251	581	1727
252	583	1721
253	584	1717
254	586	1712
255	587	1707
256	589	1703
257	592	1704
258	595	1702
259	596	1697
260	597	1693
261	599	1688
262	600	1683
263	602	1679
264	603	1674
265	606	1673
266	608	1670
267	609	1666
268	611	1661
269	612	1656
270	614	1652
271	615	1647
272	616	1642
273	618	1638
274	620	1637
275	622	1633
276	624	1629
277	625	1624
278	627	1620
279	628	1616
280	629	1611
281	631	1606
282	632	1602
283	635	1602
284	637	1599
285	638	1594
286	640	1590
287	641	1586
288	642	1581
289	644	1577
290	645	1573
291	647	1568
292	650	1568
293	651	1565
294	653	1560
295	654	1556
296	655	1552
297	657	1548
298	658	1544
299	659	1539
300	661	1535
301	663	1533
302	665	1531
303	667	1527
304	668	1523
305	670	1520
306	672	1517
307	673	1513
308	675	1509
309	677	1507
310	680	1507
311	682	1503
312	684	1501
313	685	1497
314	687	1494
315	688	1490
316	689	1486
317	691	1484
318	694	1482
319	696	1479
320	697	1476
321	699	1471
322	700	1468
323	701	1464
324	703	1460
325	704	1457
326	706	1454
327	709	1452
328	711	1450
329	713	1447
330	714	1444
331	716	1440
332	717	1437
333	719	1434
334	721	1432
335	723	1429
336	725	1427
337	727	1423
338	728	1420
339	730	1417
340	731	1414
341	733	1411
342	734	1407
343	737	1406
344	739	1403
345	741	1400
346	742	1397
347	744	1393
348	745	1390
349	746	1387
350	748	1384
351	750	1381
352	751	1378
353	753	1375
354	755	1372
355	757	1369
356	758	1366
357	760	1364
358	763	1363
359	766	1362
360	767	1359
361	769	1355
362	770	1352
363	772	1350
364	774	1346
365	776	1344
366	778	1341
367	780	1340
368	782	1337
369	784	1335
370	786	1332
371	787	1330
372	789	1327
373	791	1325
374	794	1323
375	796	1321
376	798	1319
377	800	1316
378	801	1313
379	803	1311
380	805	1309
381	808	1307
382	810	1305
383	812	1303
384	814	1300
385	816	1298
386	817	1295
387	820	1293
388	826	1298
389	828	1295
390	829	1292
391	831	1289
392	833	1287
393	836	1286
394	838	1284
395	840	1281
396	842	1279
397	843	1276
398	845	1273
399	847	1271
400	849	1268
401	850	1265
402	852	1262
403	854	1260
404	856	1258
405	858	1255
406	859	1252
407	861	1250
408	863	1247
409	865	1244
410	867	1243
411	869	1240
412	870	1237
413	872	1235
414	874	1232
415	876	1229
416	877	1227
417	879	1225
418	881	1222
419	883	1219
420	885	1217
421	886	1214
422	888	1212
423	890	1209
424	891	1206
425	893	1203
426	894	1200
427	897	1198
428	899	1196
429	900	1194
430	902	1191
431	903	1188
432	905	1185
433	906	1182
434	908	1179
435	909	1176
436	911	1174
437	913	1172
438	915	1169
439	916	1166
440	917	1163
441	919	1160
442	920	1157
443	921	1154
444	922	1150
445	924	1147
446	925	1145
447	927	1143
448	929	1140
449	930	1137
450	932	1134
451	933	1131
452	934	1128
453	936	1125
454	937	1122
455	938	1119
456	941	1118
